161031 11:16:12	   50 Connect	root@localhost as anonymous on 
		   52 Query	SELECT option_value FROM wp_options WHERE option_name = 'logged_in_salt' LIMIT 1
		   52 Query	SELECT option_value FROM wp_options WHERE option_name = 'auth_key' LIMIT 1
		   52 Query	SELECT option_value FROM wp_options WHERE option_name = 'auth_salt' LIMIT 1
		   52 Query	SELECT session_value FROM wp_woocommerce_sessions WHERE session_key = '2'
		   52 Query	SELECT option_value FROM wp_options WHERE option_name = 'nonce_key' LIMIT 1
		   52 Query	SELECT option_value FROM wp_options WHERE option_name = 'nonce_salt' LIMIT 1
		   52 Query	SELECT option_value FROM wp_options WHERE option_name = 'woocommerce_permalinks' LIMIT 1
		   52 Query	SELECT * FROM wp_posts WHERE ID = 4 LIMIT 1
		   52 Query	SELECT option_value FROM wp_options WHERE option_name = 'theme_switched' LIMIT 1
		   52 Query	SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN (9) ORDER BY meta_id ASC
		   52 Query	SELECT * FROM wp_posts WHERE ID = 9 LIMIT 1
		   52 Query	SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON tt.term_id = t.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id = tt.term_taxonomy_id  WHERE tt.taxonomy IN ('product_type') AND tr.object_id IN (9) ORDER BY t.name ASC
		   52 Query	SELECT term_id, meta_key, meta_value FROM wp_termmeta WHERE term_id IN (2) ORDER BY meta_id ASC
		   52 Query	SELECT   wp_posts.* FROM wp_posts  WHERE 1=1  AND wp_posts.post_name = 'tp1' AND wp_posts.post_type = 'product'  ORDER BY wp_posts.post_date DESC
		   52 Query	SELECT t.*, tt.*, tr.object_id FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON tt.term_id = t.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id = tt.term_taxonomy_id  WHERE tt.taxonomy IN ('product_type', 'product_cat', 'product_tag', 'product_shipping_class') AND tr.object_id IN (9) ORDER BY t.name ASC
		   52 Query	SELECT option_value FROM wp_options WHERE option_name = 'woocommerce_tax_display_cart' LIMIT 1
		   52 Query	SELECT * FROM wp_posts WHERE ID = 5 LIMIT 1
		   52 Query	SELECT * FROM wp_posts WHERE ID = 6 LIMIT 1
		   52 Quit	
161031 11:16:43	   53 Connect	root@localhost as anonymous on 
		   53 Query	SET NAMES utf8mb4
		   53 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_unicode_ci'
		   53 Query	SELECT @@SESSION.sql_mode
		   53 Query	SET SESSION sql_mode='NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION'
		   53 Init DB	wordpress
		   53 Query	SELECT option_name, option_value FROM wp_options WHERE autoload = 'yes'
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = 'WPLANG' LIMIT 1
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = 'theme_mods_twentysixteen' LIMIT 1
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = 'current_theme' LIMIT 1
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = 'mods_Twenty Sixteen' LIMIT 1
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = 'woocommerce_status_options' LIMIT 1
		   53 Query	SELECT * FROM wp_users WHERE user_login = 'admin'
		   53 Query	SELECT user_id, meta_key, meta_value FROM wp_usermeta WHERE user_id IN (1) ORDER BY umeta_id ASC
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = 'auth_key' LIMIT 1
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = 'auth_salt' LIMIT 1
		   53 Query	SELECT session_value FROM wp_woocommerce_sessions WHERE session_key = '1'
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = '_transient_timeout_external_ip_address_127.0.0.1' LIMIT 1
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = '_transient_external_ip_address_127.0.0.1' LIMIT 1
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = 'nonce_key' LIMIT 1
